               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.037574,            0.031556,           0.0024904,             0.79747,             0.62773,             0.69897,             0.36814,            0.048942,            0.032554,           0.0076819,            0.005512,            0.005512,            0.005512
                 138,            0.037642,            0.033586,           0.0020663,             0.82192,             0.60796,             0.70641,             0.36809,            0.048371,             0.03268,           0.0080319,            0.005479,            0.005479,            0.005479
                 139,            0.038439,            0.033558,           0.0030406,              0.7943,             0.62691,             0.71002,             0.36066,            0.048207,            0.032663,           0.0072835,            0.005446,            0.005446,            0.005446
                 140,            0.037979,            0.031734,           0.0022317,             0.77832,             0.63591,              0.6969,             0.36392,            0.047996,            0.032804,            0.007023,            0.005413,            0.005413,            0.005413
                 141,            0.037797,            0.031761,           0.0024948,             0.79144,             0.64582,             0.72121,             0.37515,            0.047828,            0.031898,           0.0064481,             0.00538,             0.00538,             0.00538
                 142,             0.03725,            0.032022,           0.0021738,             0.82223,             0.63025,              0.7095,             0.36085,            0.048297,            0.033088,           0.0070945,            0.005347,            0.005347,            0.005347
                 143,            0.037444,            0.032576,           0.0022126,             0.73469,             0.66543,             0.70906,             0.36527,            0.048231,            0.032894,           0.0072992,            0.005314,            0.005314,            0.005314
                 144,            0.037683,            0.030763,           0.0027074,             0.74325,             0.65601,             0.70225,             0.35758,            0.048947,            0.032616,           0.0079431,            0.005281,            0.005281,            0.005281
                 145,            0.036937,             0.03297,           0.0020824,             0.76148,             0.65607,             0.71665,             0.36666,            0.047955,             0.03241,           0.0071649,            0.005248,            0.005248,            0.005248
                 146,            0.037899,            0.031978,           0.0022889,             0.74126,             0.66491,               0.716,             0.36922,            0.048676,            0.032703,           0.0067677,            0.005215,            0.005215,            0.005215
                 147,            0.036594,            0.031044,           0.0026604,             0.80035,             0.65723,             0.71317,             0.36792,            0.048788,            0.032546,           0.0063441,            0.005182,            0.005182,            0.005182
                 148,            0.036386,              0.0311,            0.002452,             0.77327,             0.65754,             0.70645,             0.37135,            0.048128,            0.032573,           0.0073965,            0.005149,            0.005149,            0.005149
                 149,             0.03636,            0.032492,           0.0022528,             0.78492,             0.65067,             0.70882,             0.36585,            0.048227,            0.032909,           0.0071217,            0.005116,            0.005116,            0.005116
                 150,            0.036409,            0.031536,           0.0019366,             0.77703,             0.66303,             0.71751,              0.3677,             0.04846,            0.032298,            0.007528,            0.005083,            0.005083,            0.005083
                 151,            0.036767,             0.03085,           0.0021978,             0.79112,             0.61145,             0.69565,             0.35746,            0.048734,            0.033044,           0.0073556,             0.00505,             0.00505,             0.00505
                 152,            0.037063,             0.03269,           0.0021263,             0.74759,             0.67051,             0.71242,             0.36171,            0.048723,            0.032397,           0.0075945,            0.005017,            0.005017,            0.005017
                 153,            0.036015,            0.030798,           0.0023159,             0.78063,             0.63232,               0.694,              0.3526,            0.049052,            0.033181,           0.0080826,            0.004984,            0.004984,            0.004984
                 154,            0.036618,            0.031367,           0.0019873,             0.75015,             0.65861,             0.71053,             0.36368,            0.048406,             0.03242,           0.0082936,            0.004951,            0.004951,            0.004951
                 155,            0.036105,            0.029432,           0.0020423,               0.763,             0.66267,              0.7089,             0.36242,            0.048255,            0.032688,           0.0081165,            0.004918,            0.004918,            0.004918
                 156,            0.036523,            0.030694,           0.0018981,             0.77628,             0.67071,             0.71552,             0.37181,            0.048248,            0.032197,           0.0078415,            0.004885,            0.004885,            0.004885
                 157,            0.035821,            0.030419,           0.0025137,             0.75619,              0.6664,             0.71011,             0.36694,            0.048356,            0.032423,           0.0075878,            0.004852,            0.004852,            0.004852
                 158,            0.036478,            0.031241,           0.0020564,             0.73382,             0.66927,             0.70491,             0.36875,            0.048243,            0.033028,           0.0079551,            0.004819,            0.004819,            0.004819
                 159,            0.034646,            0.029645,           0.0023667,             0.77404,             0.65836,              0.7112,             0.37472,            0.048193,            0.032523,           0.0073378,            0.004786,            0.004786,            0.004786
